name,slug
آذربایجان شرقی,آذربایجان-شرقی
آذربایجان غربی,آذربایجان-غربی
اردبیل,اردبیل
اصفهان,اصفهان
البرز,البرز
ایلام,ایلام
بوشهر,بوشهر
تهران,تهران
چهارمحال و بختیاری,چهارمحال-و-بختیاری
خراسان جنوبی,خراسان-جنوبی
خراسان رضوی,خراسان-رضوی
خراسان شمالی,خراسان-شمالی
خوزستان,خوزستان
زنجان,زنجان
سمنان,سمنان
سیستان و بلوچستان,سیستان-و-بلوچستان
فارس,فارس
قزوین,قزوین
قم,قم
کردستان,کردستان
کرمان,کرمان
کرمانشاه,کرمانشاه
کهگیلویه و بویر احمد,کهگیلویه-بویر-احمد
گلستان,گلستان
گیلان,گیلان
لرستان,لرستان
مازندران,مازندران
مرکزی,مرکزی
هرمزگان,هرمزگان
همدان,همدان
یزد,یزد
